hearing_id,date,title,government_body,project_name,stem,segments_file,json_file,transcript_file,audio_file,analysis_start_seconds,analysis_end_seconds,notes
h1_2025_12_03,2025-12-03,"Data-center hearing — December 3, 2025",,CyrusOne,Cyrusone_Hearing_12032025,Cyrusone_Hearing_12032025_segments.csv,Cyrusone_Hearing_12032025_whisperx.json,Cyrusone_Hearing_12032025_transcript.txt,CyrusOne/Cyrusone_Hearing_12032025.mp3,,,
h2_2026_03_23,2026-03-23,"Data-center hearing — March 23, 2026",,CyrusOne,COB_20260323_Imported,COB_20260323_Imported_segments.csv,COB_20260323_Imported_whisperx.json,COB_20260323_Imported_transcript.txt,CyrusOne/COB_20260323_Imported.mp3,,,
