hearing_id,title,input_path,input_format,n_segments,n_words,first_start,last_end,timed_segments,speaker_clusters,approx_duration_minutes,diarization_available
h1_2025_12_03,"Data-center hearing — December 3, 2025",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,segments,3350,44301,0.74,17271.779,3350,48,287.85065,True
h2_2026_03_23,"Data-center hearing — March 23, 2026",/Users/williamrinehart/Documents/GitHub/SPFLD_datacenter/whisperx_outputs_diarized/COB_20260323_Imported_segments.csv,segments,2888,34717,0.945,14144.005,2888,79,235.71766666666664,True
