source_file,status,source_sha256,n_segments,n_aligned_words,n_speaker_clusters,n_segments_without_speaker,n_words_without_speaker,final_json,segments_csv,words_csv,speaker_transcript,metadata_json
CyrusOne/Cyrusone_Hearing_12032025.mp3,completed,dfc4dfef932f09c8122ea820d9374a4e3d58ecd4e314a305771bbc851d1d62a6,3350,42494,48,4,25,whisperx_outputs_diarized/Cyrusone_Hearing_12032025_whisperx.json,whisperx_outputs_diarized/Cyrusone_Hearing_12032025_segments.csv,whisperx_outputs_diarized/Cyrusone_Hearing_12032025_words.csv,whisperx_outputs_diarized/Cyrusone_Hearing_12032025_speakers.txt,whisperx_outputs_diarized/Cyrusone_Hearing_12032025_run_metadata.json
CyrusOne/COB_20260323_Imported.mp3,completed,dde34af32fe56fc892c33d814c0c48add2d25262c29a268a8897587b1a68183b,2888,33486,79,2,5,whisperx_outputs_diarized/COB_20260323_Imported_whisperx.json,whisperx_outputs_diarized/COB_20260323_Imported_segments.csv,whisperx_outputs_diarized/COB_20260323_Imported_words.csv,whisperx_outputs_diarized/COB_20260323_Imported_speakers.txt,whisperx_outputs_diarized/COB_20260323_Imported_run_metadata.json
