segment,label,speaker,start,end
[ 03:25:36.111 -->  03:25:36.449],BI,SPEAKER_57,12336.11159375,12336.449093750001
[ 03:25:36.651 -->  03:25:41.241],BI,SPEAKER_57,12336.65159375,12341.24159375
[ 03:25:42.068 -->  03:25:44.633],BI,SPEAKER_57,12342.06846875,12344.633468750002
[ 03:25:45.190 -->  03:25:46.979],BI,SPEAKER_57,12345.19034375,12346.97909375
[ 03:25:47.485 -->  03:25:49.965],BI,SPEAKER_57,12347.485343750002,12349.965968750003
[ 03:25:50.269 -->  03:25:54.049],BI,SPEAKER_57,12350.269718750002,12354.04971875
[ 03:25:54.674 -->  03:25:55.146],BI,SPEAKER_57,12354.67409375,12355.14659375
[ 03:25:55.804 -->  03:25:57.458],BI,SPEAKER_57,12355.804718750001,12357.458468750003
[ 03:25:57.829 -->  03:26:00.057],BI,SPEAKER_57,12357.82971875,12360.05721875
[ 03:26:00.681 -->  03:26:03.887],BI,SPEAKER_57,12360.68159375,12363.887843750003
[ 03:26:04.360 -->  03:26:07.853],BI,SPEAKER_57,12364.360343750002,12367.85346875
[ 03:26:08.190 -->  03:26:09.186],BI,SPEAKER_57,12368.190968750001,12369.18659375
[ 03:26:09.692 -->  03:26:14.654],BI,SPEAKER_57,12369.692843750003,12374.65409375
[ 03:26:16.122 -->  03:26:22.281],BI,SPEAKER_57,12376.122218750003,12382.281593750002
[ 03:26:22.619 -->  03:26:24.559],BI,SPEAKER_57,12382.61909375,12384.559718750003
[ 03:26:24.762 -->  03:26:25.808],BI,SPEAKER_57,12384.762218750002,12385.808468750001
[ 03:26:26.264 -->  03:26:28.305],BI,SPEAKER_57,12386.26409375,12388.305968750003
[ 03:26:29.250 -->  03:26:35.410],BI,SPEAKER_57,12389.250968750002,12395.410343750002
[ 03:26:36.355 -->  03:26:43.189],BI,SPEAKER_57,12396.355343750001,12403.18971875
[ 03:26:43.729 -->  03:26:45.012],BI,SPEAKER_57,12403.72971875,12405.012218750002
[ 03:26:45.636 -->  03:26:47.374],BI,SPEAKER_57,12405.636593750001,12407.374718750001
[ 03:26:47.543 -->  03:26:50.766],BI,SPEAKER_57,12407.543468750002,12410.766593750002
[ 03:26:51.087 -->  03:26:51.762],BI,SPEAKER_57,12411.087218750003,12411.762218750002
[ 03:26:53.432 -->  03:26:54.917],BI,SPEAKER_57,12413.43284375,12414.917843750001
[ 03:26:55.575 -->  03:26:58.039],BI,SPEAKER_57,12415.57596875,12418.039718750002
[ 03:26:58.697 -->  03:27:02.055],BI,SPEAKER_57,12418.69784375,12422.055968750003
[ 03:27:02.916 -->  03:27:05.768],BI,SPEAKER_57,12422.91659375,12425.76846875
[ 03:27:05.869 -->  03:27:08.080],BI,SPEAKER_57,12425.86971875,12428.08034375
[ 03:27:08.316 -->  03:27:12.231],BI,SPEAKER_57,12428.316593750002,12432.231593750003
[ 03:27:12.872 -->  03:27:16.602],BI,SPEAKER_57,12432.87284375,12436.602218750002
[ 03:27:17.040 -->  03:27:19.268],BI,SPEAKER_57,12437.04096875,12439.26846875
[ 03:27:20.129 -->  03:27:28.212],BI,SPEAKER_57,12440.129093750002,12448.212218750003
[ 03:27:28.634 -->  03:27:30.929],BI,SPEAKER_57,12448.634093750003,12450.92909375
[ 03:27:31.654 -->  03:27:36.396],BI,SPEAKER_57,12451.65471875,12456.39659375
[ 03:27:36.717 -->  03:27:38.303],BI,SPEAKER_57,12456.71721875,12458.30346875
[ 03:27:39.164 -->  03:27:40.480],BI,SPEAKER_57,12459.164093750001,12460.480343750001
[ 03:27:41.273 -->  03:27:44.985],BI,SPEAKER_57,12461.273468750001,12464.98596875
[ 03:27:45.272 -->  03:27:46.470],BI,SPEAKER_57,12465.27284375,12466.47096875
[ 03:27:46.842 -->  03:27:48.850],BI,SPEAKER_57,12466.84221875,12468.85034375
[ 03:27:49.896 -->  03:27:54.030],BI,SPEAKER_57,12469.89659375,12474.030968750001
[ 03:27:54.537 -->  03:27:58.975],BI,SPEAKER_57,12474.53721875,12478.97534375
[ 03:27:59.515 -->  03:28:00.544],BI,SPEAKER_57,12479.515343750001,12480.54471875
[ 03:28:01.135 -->  03:28:06.855],BI,SPEAKER_57,12481.13534375,12486.855968750002
[ 03:28:07.395 -->  03:28:09.859],BI,SPEAKER_57,12487.395968750003,12489.859718750002
[ 03:28:10.264 -->  03:28:11.412],BI,SPEAKER_57,12490.26471875,12491.41221875
[ 03:28:11.766 -->  03:28:15.799],BI,SPEAKER_57,12491.766593750002,12495.79971875
[ 03:28:16.002 -->  03:28:17.200],BI,SPEAKER_57,12496.00221875,12497.200343750003
[ 03:28:17.655 -->  03:28:19.512],BI,SPEAKER_57,12497.655968750001,12499.512218750002
[ 03:28:20.102 -->  03:28:22.684],BI,SPEAKER_57,12500.102843750003,12502.684718750003
[ 03:28:23.224 -->  03:28:25.215],BI,SPEAKER_57,12503.22471875,12505.215968750003
[ 03:28:27.089 -->  03:28:27.797],BI,SPEAKER_57,12507.08909375,12507.797843750002
[ 03:28:28.354 -->  03:28:30.075],BI,SPEAKER_57,12508.35471875,12510.07596875
[ 03:28:30.531 -->  03:28:34.058],BI,SPEAKER_57,12510.531593750002,12514.058468750001
[ 03:28:34.716 -->  03:28:37.754],BI,SPEAKER_57,12514.71659375,12517.754093750002
[ 03:28:38.378 -->  03:28:42.445],BI,SPEAKER_57,12518.378468750001,12522.445343750001
