segment,label,speaker,start,end
[ 02:19:57.722 -->  02:19:57.824],S,SPEAKER_10,8397.722843750002,8397.824093750001
[ 02:19:57.824 -->  02:19:57.942],AE,SPEAKER_24,8397.824093750001,8397.942218750002
[ 02:20:01.367 -->  02:20:04.725],I,SPEAKER_46,8401.367843750002,8404.72596875
[ 02:20:05.316 -->  02:20:13.315],I,SPEAKER_46,8405.316593750002,8413.31534375
[ 02:20:13.872 -->  02:20:15.239],I,SPEAKER_46,8413.872218750003,8415.239093750002
[ 02:20:16.825 -->  02:20:17.534],I,SPEAKER_46,8416.825343750003,8417.53409375
[ 02:20:18.715 -->  02:20:19.626],I,SPEAKER_46,8418.715343750002,8419.62659375
[ 02:20:19.845 -->  02:20:23.119],I,SPEAKER_46,8419.84596875,8423.11971875
[ 02:20:23.693 -->  02:20:27.321],I,SPEAKER_46,8423.69346875,8427.321593750003
[ 02:20:28.418 -->  02:20:34.274],I,SPEAKER_46,8428.418468750002,8434.274093750002
[ 02:20:34.864 -->  02:20:38.897],I,SPEAKER_46,8434.86471875,8438.89784375
[ 02:20:39.505 -->  02:20:39.994],I,SPEAKER_46,8439.50534375,8439.99471875
[ 02:20:40.062 -->  02:20:45.732],I,SPEAKER_46,8440.062218750001,8445.73221875
[ 02:20:46.289 -->  02:20:50.018],I,SPEAKER_46,8446.289093750001,8450.01846875
[ 02:20:50.541 -->  02:20:56.110],I,SPEAKER_46,8450.54159375,8456.110343750002
[ 02:20:57.240 -->  02:21:04.379],I,SPEAKER_46,8457.24096875,8464.379093750002
[ 02:21:05.104 -->  02:21:05.425],I,SPEAKER_46,8465.10471875,8465.425343750001
[ 02:21:05.965 -->  02:21:06.032],W,SPEAKER_15,8465.965343750002,8466.03284375
[ 02:21:06.032 -->  02:21:06.049],I,SPEAKER_46,8466.03284375,8466.04971875
[ 02:21:06.049 -->  02:21:06.100],W,SPEAKER_15,8466.04971875,8466.10034375
[ 02:21:06.100 -->  02:21:06.134],I,SPEAKER_46,8466.10034375,8466.134093750003
[ 02:21:06.134 -->  02:21:06.269],W,SPEAKER_15,8466.134093750003,8466.269093750001
[ 02:21:06.269 -->  02:21:06.404],I,SPEAKER_46,8466.269093750001,8466.40409375
[ 02:21:06.404 -->  02:21:06.420],W,SPEAKER_15,8466.40409375,8466.42096875
[ 02:21:08.344 -->  02:21:08.867],AF,SPEAKER_25,8468.344718750002,8468.867843750002
[ 02:21:09.002 -->  02:21:11.348],I,SPEAKER_46,8469.00284375,8471.348468750002
[ 02:21:11.989 -->  02:21:14.099],I,SPEAKER_46,8471.98971875,8474.09909375
[ 02:21:14.655 -->  02:21:16.765],I,SPEAKER_46,8474.655968750001,8476.765343750001
[ 02:21:17.339 -->  02:21:17.760],I,SPEAKER_46,8477.33909375,8477.76096875
[ 02:21:18.570 -->  02:21:23.987],I,SPEAKER_46,8478.570968750002,8483.987843750001
[ 02:21:24.595 -->  02:21:34.332],I,SPEAKER_46,8484.59534375,8494.332218750002
[ 02:21:34.737 -->  02:21:44.507],I,SPEAKER_46,8494.73721875,8504.507843750001
[ 02:21:38.213 -->  02:21:38.652],AB,SPEAKER_20,8498.21346875,8498.652218750001
[ 02:21:44.575 -->  02:21:45.351],I,SPEAKER_46,8504.575343750003,8505.351593750001
[ 02:21:45.452 -->  02:21:48.355],I,SPEAKER_46,8505.452843750001,8508.355343750001
[ 02:21:48.777 -->  02:21:52.472],I,SPEAKER_46,8508.777218750001,8512.472843750002
[ 02:21:53.333 -->  02:21:56.539],I,SPEAKER_46,8513.33346875,8516.539718750002
[ 02:21:57.130 -->  02:21:58.699],I,SPEAKER_46,8517.13034375,8518.699718750002
[ 02:21:58.885 -->  02:22:03.627],I,SPEAKER_46,8518.88534375,8523.62721875
[ 02:22:03.779 -->  02:22:04.369],I,SPEAKER_46,8523.77909375,8524.36971875
[ 02:22:04.572 -->  02:22:05.888],I,SPEAKER_46,8524.57221875,8525.88846875
[ 02:22:06.495 -->  02:22:07.643],I,SPEAKER_46,8526.495968750001,8527.64346875
[ 02:22:08.639 -->  02:22:09.533],I,SPEAKER_46,8528.63909375,8529.53346875
[ 02:22:09.786 -->  02:22:10.680],I,SPEAKER_46,8529.78659375,8530.680968750003
[ 02:22:11.271 -->  02:22:13.887],I,SPEAKER_46,8531.27159375,8533.887218750002
[ 02:22:14.342 -->  02:22:15.186],I,SPEAKER_46,8534.34284375,8535.18659375
[ 02:22:15.591 -->  02:22:17.245],I,SPEAKER_46,8535.59159375,8537.24534375
[ 02:22:17.633 -->  02:22:21.025],I,SPEAKER_46,8537.633468750002,8541.02534375
[ 02:22:21.531 -->  02:22:27.792],I,SPEAKER_46,8541.531593750002,8547.79221875
[ 02:22:28.500 -->  02:22:30.998],I,SPEAKER_46,8548.500968750002,8550.99846875
[ 02:22:31.437 -->  02:22:33.681],I,SPEAKER_46,8551.437218750001,8553.68159375
[ 02:22:33.917 -->  02:22:37.917],I,SPEAKER_46,8553.917843750001,8557.91721875
[ 02:22:38.575 -->  02:22:39.064],I,SPEAKER_46,8558.575343750003,8559.06471875
[ 02:22:39.604 -->  02:22:43.047],I,SPEAKER_46,8559.60471875,8563.047218750002
[ 02:22:43.232 -->  02:22:49.510],I,SPEAKER_46,8563.23284375,8569.51034375
[ 02:22:49.712 -->  02:22:52.041],I,SPEAKER_46,8569.71284375,8572.04159375
[ 02:22:52.463 -->  02:22:54.066],I,SPEAKER_46,8572.46346875,8574.066593750002
[ 02:22:54.792 -->  02:22:59.871],I,SPEAKER_46,8574.79221875,8579.871593750002
[ 02:22:59.905 -->  02:23:00.428],I,SPEAKER_46,8579.90534375,8580.42846875
[ 02:23:00.698 -->  02:23:02.740],I,SPEAKER_46,8580.69846875,8582.74034375
