source_file,speaker,n_segments,speaker_name,speaker_role,identity_evidence,notes
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_20,20,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_21,27,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_22,22,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_23,19,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_24,14,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_25,20,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_26,29,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_27,13,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_28,484,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_29,15,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_30,22,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_31,26,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_32,20,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_33,9,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_34,27,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_35,26,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_36,22,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_37,25,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_38,38,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_39,21,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_40,44,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_41,20,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_42,34,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_43,36,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_44,29,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_45,31,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_46,19,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_47,23,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_48,28,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_49,11,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_50,21,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_51,17,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_52,28,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_53,27,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_54,14,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_55,33,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_56,38,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_57,170,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_58,28,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_59,14,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_60,25,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_61,28,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_62,39,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_63,18,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_64,6,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_65,55,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_66,137,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_67,11,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_68,34,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_69,151,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_70,40,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_71,28,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_72,24,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_73,35,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_74,15,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_75,19,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_76,21,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_77,7,,,,
CyrusOne/COB_20260323_Imported.mp3,SPEAKER_78,21,,,,
