hearing_id,document_id,unit_type,start_timestamp,speaker_name,speaker_role,n_words,duration_seconds,category,category_label,seed_hit_count,seed_hit_any,tfidf_similarity
h1_2025_12_03,h1_2025_12_03_t00003,comment,00:00:15.605,Unknown speaker,official,72,24.328999999999997,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00004,comment,00:00:39.954,Unknown speaker,unknown,31,15.271,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00005,comment,00:01:00.770,Unknown speaker,official,58,25.275,land_use,Land use,0,False,0.013257868298751321
h1_2025_12_03,h1_2025_12_03_t00006,comment,00:01:29.200,Unknown speaker,staff,23,19.180999999999997,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00014,comment,00:02:13.178,Unknown speaker,official,78,25.02600000000001,land_use,Land use,0,False,0.0029071620659866246
h1_2025_12_03,h1_2025_12_03_t00015,comment,00:02:43.150,Unknown speaker,official,32,9.730999999999995,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00019,comment,00:03:07.437,Unknown speaker,official,18,7.304000000000002,land_use,Land use,0,False,0.005212197588062609
h1_2025_12_03,h1_2025_12_03_t00022,comment,00:04:05.616,Unknown speaker,official,804,287.985,land_use,Land use,4,True,0.02210232455694857
h1_2025_12_03,h1_2025_12_03_t00029,comment,00:10:38.713,Unknown speaker,developer,247,83.51800000000003,land_use,Land use,0,False,0.0016571878782612258
h1_2025_12_03,h1_2025_12_03_t00030,comment,00:12:13.198,Unknown speaker,developer,53,14.513000000000034,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00031,comment,00:12:35.055,Unknown speaker,developer,84,31.01800000000003,land_use,Land use,2,True,0.012594746712839614
h1_2025_12_03,h1_2025_12_03_t00034,comment,00:13:20.818,Unknown speaker,developer,1139,344.1289999999999,land_use,Land use,1,True,0.009549681592548584
h1_2025_12_03,h1_2025_12_03_t00035,comment,00:19:08.195,Unknown speaker,developer,797,253.43000000000006,land_use,Land use,0,False,0.006464659742682354
h1_2025_12_03,h1_2025_12_03_t00036,comment,00:23:25.968,Unknown speaker,developer,314,92.52199999999993,land_use,Land use,0,False,0.015872929958763857
h1_2025_12_03,h1_2025_12_03_t00037,comment,00:25:08.446,Unknown speaker,developer,409,130.86800000000017,land_use,Land use,0,False,0.008997529483763313
h1_2025_12_03,h1_2025_12_03_t00038,comment,00:27:25.706,Unknown speaker,developer,216,60.846000000000004,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00039,comment,00:28:30.338,Unknown speaker,developer,169,54.519000000000005,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00040,comment,00:29:25.842,Unknown speaker,official,101,26.652999999999793,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00041,comment,00:29:52.759,Unknown speaker,developer,38,11.242999999999938,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00045,comment,00:30:19.326,Unknown speaker,public,836,246.4380000000001,land_use,Land use,0,False,0.004293447388943573
h1_2025_12_03,h1_2025_12_03_t00048,comment,00:34:36.842,Unknown speaker,public,213,79.37599999999975,land_use,Land use,0,False,0.0017614300559559964
h1_2025_12_03,h1_2025_12_03_t00049,comment,00:36:01.937,Unknown speaker,public,254,94.46300000000019,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00050,comment,00:37:43.546,Unknown speaker,consultant,310,113.25500000000011,land_use,Land use,0,False,0.010724381556100948
h1_2025_12_03,h1_2025_12_03_t00052,comment,00:39:50.806,Unknown speaker,consultant,493,179.346,land_use,Land use,0,False,0.0012122527889353743
h1_2025_12_03,h1_2025_12_03_t00053,comment,00:43:00.822,Unknown speaker,consultant,24,6.826999999999771,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00062,comment,00:45:21.576,Unknown speaker,official,20,7.706000000000131,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00065,comment,00:46:21.059,Unknown speaker,official,155,61.19599999999991,land_use,Land use,0,False,0.003936492053987703
h1_2025_12_03,h1_2025_12_03_t00066,comment,00:47:22.655,Unknown speaker,official,64,26.927999999999884,land_use,Land use,1,True,0.033255114508386
h1_2025_12_03,h1_2025_12_03_t00067,comment,00:47:50.090,Unknown speaker,developer,197,57.88599999999997,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00068,comment,00:48:48.376,Unknown speaker,official,145,58.13099999999986,land_use,Land use,1,True,0.013679557848476348
h1_2025_12_03,h1_2025_12_03_t00069,comment,00:49:49.970,Unknown speaker,official,25,11.202999999999975,land_use,Land use,0,False,0.0050336777033794106
h1_2025_12_03,h1_2025_12_03_t00070,comment,00:50:01.193,Unknown speaker,official,119,39.06700000000001,land_use,Land use,1,True,0.014094418936259658
h1_2025_12_03,h1_2025_12_03_t00071,comment,00:50:40.871,Unknown speaker,developer,330,101.94299999999976,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00072,comment,00:52:22.834,Unknown speaker,official,30,9.595000000000255,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00073,comment,00:52:32.669,Unknown speaker,developer,59,12.889000000000124,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00076,comment,00:52:53.965,Unknown speaker,official,18,8.38799999999992,land_use,Land use,0,False,0.006635023614929987
h1_2025_12_03,h1_2025_12_03_t00077,comment,00:53:03.254,Unknown speaker,official,84,30.184000000000196,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00078,comment,00:53:36.293,Unknown speaker,developer,72,23.06999999999971,land_use,Land use,0,False,0.01870951236235594
h1_2025_12_03,h1_2025_12_03_t00079,comment,00:54:00.303,Unknown speaker,official,32,7.829999999999927,land_use,Land use,0,False,0.01024730093809924
h1_2025_12_03,h1_2025_12_03_t00081,comment,00:54:09.693,Unknown speaker,official,18,8.361999999999625,land_use,Land use,1,True,0.036449559672132634
h1_2025_12_03,h1_2025_12_03_t00083,comment,00:54:18.895,Unknown speaker,official,68,22.876000000000204,land_use,Land use,0,False,0.009154034222900509
h1_2025_12_03,h1_2025_12_03_t00084,comment,00:54:42.251,Unknown speaker,developer,132,40.80799999999999,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00085,comment,00:55:23.459,Unknown speaker,official,22,5.1030000000000655,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00086,comment,00:55:29.398,Unknown speaker,developer,89,27.284999999999854,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00087,comment,00:55:57.742,Unknown speaker,official,35,10.298999999999978,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00088,comment,00:56:09.181,Unknown speaker,developer,48,16.88299999999981,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00091,comment,00:56:34.855,Unknown speaker,official,41,16.153999999999996,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00093,comment,00:57:02.553,Unknown speaker,developer,87,44.572000000000116,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00094,comment,00:57:48.495,Unknown speaker,official,20,8.564000000000306,land_use,Land use,0,False,0.028110293950474447
h1_2025_12_03,h1_2025_12_03_t00095,comment,00:57:59.080,Unknown speaker,developer,18,3.8020000000001346,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00096,comment,00:58:04.423,Unknown speaker,official,18,6.703000000000429,land_use,Land use,0,False,0.02948403123115299
h1_2025_12_03,h1_2025_12_03_t00103,comment,00:58:28.073,Unknown speaker,official,19,12.48700000000008,land_use,Land use,0,False,0.006503249248916627
h1_2025_12_03,h1_2025_12_03_t00104,comment,00:58:45.661,Unknown speaker,official,32,11.143999999999778,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00105,comment,00:58:58.047,Unknown speaker,developer,199,71.346,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00107,comment,01:00:14.270,Unknown speaker,developer,48,17.690999999999804,land_use,Land use,0,False,0.014799757678530073
h1_2025_12_03,h1_2025_12_03_t00111,comment,01:00:52.184,Unknown speaker,official,49,15.084999999999582,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00112,comment,01:01:08.148,Unknown speaker,developer,268,86.94499999999971,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00115,comment,01:02:58.546,Unknown speaker,official,162,52.345000000000255,land_use,Land use,1,True,0.016357381261667202
h1_2025_12_03,h1_2025_12_03_t00116,comment,01:03:53.913,Unknown speaker,developer,76,26.235000000000127,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00117,comment,01:04:20.608,Unknown speaker,official,51,14.94399999999996,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00119,comment,01:04:53.297,Unknown speaker,official,59,17.126999999999953,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00120,comment,01:05:12.026,Unknown speaker,public,155,46.008000000000266,land_use,Land use,0,False,0.017272768123441112
h1_2025_12_03,h1_2025_12_03_t00121,comment,01:06:01.281,Unknown speaker,official,73,26.02500000000009,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00122,comment,01:06:27.727,Unknown speaker,public,103,35.846000000000004,land_use,Land use,0,False,0.0025214444075617477
h1_2025_12_03,h1_2025_12_03_t00123,comment,01:07:03.713,Unknown speaker,official,18,5.3419999999996435,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00124,comment,01:07:12.476,Unknown speaker,official,314,103.20800000000008,land_use,Land use,2,True,0.007923311573481981
h1_2025_12_03,h1_2025_12_03_t00125,comment,01:08:57.705,Unknown speaker,official,18,4.8419999999996435,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00128,comment,01:09:05.608,Unknown speaker,official,21,8.804000000000087,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00131,comment,01:09:21.783,Unknown speaker,official,19,5.0239999999994325,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00132,comment,01:09:27.608,Unknown speaker,official,49,15.992999999999483,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00135,comment,01:09:50.018,Unknown speaker,official,60,17.54399999999987,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00136,comment,01:10:07.742,Unknown speaker,developer,70,22.425999999999476,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00139,comment,01:10:40.610,Unknown speaker,official,31,14.639000000000124,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00140,comment,01:10:58.312,Unknown speaker,official,22,11.488000000000284,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00141,comment,01:11:12.082,Unknown speaker,official,408,164.66799999999967,land_use,Land use,0,False,0.003233748779595211
h1_2025_12_03,h1_2025_12_03_t00142,comment,01:14:02.713,Unknown speaker,official,364,118.8710000000001,land_use,Land use,0,False,0.006442355321512297
h1_2025_12_03,h1_2025_12_03_t00144,comment,01:16:02.985,Unknown speaker,official,26,10.677999999999884,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00146,comment,01:16:16.785,Unknown speaker,official,31,8.404999999999745,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00148,comment,01:17:15.471,Unknown speaker,official,49,13.82800000000043,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00152,comment,01:18:40.363,Unknown speaker,public,99,29.721999999999753,land_use,Land use,0,False,0.0027677943088673003
h1_2025_12_03,h1_2025_12_03_t00153,comment,01:19:18.370,Unknown speaker,public,46,12.306999999999789,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00154,comment,01:19:41.797,Unknown speaker,public,306,110.47900000000027,land_use,Land use,1,True,0.005375053984864385
h1_2025_12_03,h1_2025_12_03_t00155,comment,01:21:37.955,Unknown speaker,public,196,75.75,land_use,Land use,2,True,0.007966520060007476
h1_2025_12_03,h1_2025_12_03_t00156,comment,01:23:01.011,Unknown speaker,public,558,212.52199999999993,land_use,Land use,1,True,0.01308338537596352
h1_2025_12_03,h1_2025_12_03_t00157,comment,01:26:42.316,Unknown speaker,public,81,29.93199999999979,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00158,comment,01:27:16.117,Unknown speaker,public,87,35.15700000000015,land_use,Land use,0,False,0.009915573881215282
h1_2025_12_03,h1_2025_12_03_t00159,comment,01:27:58.241,Unknown speaker,public,252,99.33700000000044,land_use,Land use,0,False,0.012407813467149795
h1_2025_12_03,h1_2025_12_03_t00160,comment,01:29:46.419,Unknown speaker,public,283,95.46399999999994,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00161,comment,01:31:25.306,Unknown speaker,public,19,5.926000000000386,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00162,comment,01:31:38.543,Unknown speaker,public,37,13.631000000000313,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00163,comment,01:32:00.200,Unknown speaker,public,55,20.67200000000048,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00165,comment,01:32:37.707,Unknown speaker,public,134,51.826999999999316,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00166,comment,01:33:34.077,Unknown speaker,public,153,74.8710000000001,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00167,comment,01:34:53.908,Unknown speaker,public,261,103.8149999999996,land_use,Land use,1,True,0.014671110715661488
h1_2025_12_03,h1_2025_12_03_t00168,comment,01:36:41.504,Unknown speaker,public,487,232.0659999999998,land_use,Land use,1,True,0.012664226998307692
h1_2025_12_03,h1_2025_12_03_t00169,comment,01:40:38.152,Unknown speaker,public,98,51.19800000000032,land_use,Land use,1,True,0.013248634505748258
h1_2025_12_03,h1_2025_12_03_t00170,comment,01:41:32.597,Unknown speaker,public,332,138.4930000000004,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00172,comment,01:43:54.812,Unknown speaker,public,161,61.850000000000364,land_use,Land use,1,True,0.009760229910436857
h1_2025_12_03,h1_2025_12_03_t00173,comment,01:45:00.618,Unknown speaker,public,187,71.53699999999935,land_use,Land use,0,False,0.011707601480089277
h1_2025_12_03,h1_2025_12_03_t00174,comment,01:46:24.416,Unknown speaker,public,343,111.5590000000002,land_use,Land use,3,True,0.031010458188250555
h1_2025_12_03,h1_2025_12_03_t00175,comment,01:48:24.482,Unknown speaker,official,109,49.39300000000003,land_use,Land use,0,False,0.005823925340809785
